City,2019_avg_income
Albuquerque,43975
Anaheim,64705
Anchorage,63208
Arlington,73059
Atlanta,55668
Aurora,67089
Austin,62460
Bakersfield,39559
Baltimore,62702
Baton Rouge,49994
Birmingham,53185
Boston,80965
Buffalo,51296
Chandler,48082
Charlotte,54086
Chesapeake,35536
Chicago,64079
Chula Vista,60845
Cincinnati,56402
Cleveland,39505
Colorado Springs,50862
Columbus,41806
Corpus Christi,46336
Dallas,59409
Washington,73059
Denver,67089
Detroit,54213
Durham,54408
El Paso,38681
Fort Wayne,47762
Fort Worth,59409
Fremont,53259
Fresno,43019
Garland,25310
Glendale,36857
Greensboro,44456
Henderson,49225
Hialeah,17981
Honolulu,36816
Houston,58884
Indianapolis,57629
Irvine,50016
Irving,31448
Jacksonville,52184
Jersey City,77911
Kansas City,55691
Laredo,33305
Las Vegas,49225
Lexington,49814
Lincoln,50565
Long Beach,64705
Los Angeles,64705
Louisville,32999
Lubbock,44706
Madison,61743
Memphis,47904
Mesa,48082
Nashville,61516
Miami,61362
Milwaukee,57860
Minneapolis,64270
New Orleans,54660
New York,77911
Newark,77911
Norfolk,49792
North Las Vegas,30761
Oakland,102406
Oklahoma City,51408
Omaha,58368
Orlando,45718
Philadelphia,65733
Phoenix,48082
Pittsburgh,59494
Plano,47840
Portland,59724
Raleigh,58147
Reno,62954
Riverside,40988
Rochester,55770
Sacramento,57014
San Antonio,48025
San Bernardino,40988
San Diego,60845
San Francisco,102406
San Jose,112693
Santa Ana,20867
Scottsdale,62682
Seattle,75970
Spokane,46337
St. Louis,57615
St. Paul,64270
St. Petersburg,49186
Stockton,45075
Tampa,49186
Toledo,48252
Tucson,44649
Tulsa,56680
Virginia Beach,49792
Wichita,52706
Winston-Salem,45600