State Abbreviation,Total Population,Black Population,Hispanic Population,Native American Population,Asian Population,Pacific Islander Population,White Population,Other Population
AK,738516,22817,51186,103506,45617,8544,450754,56092
AL,4864680,1285737,203146,23243,63936,1521,3196730,90367
AR,2990671,458536,219052,17342,43441,7877,2173849,70574
AZ,6946685,286614,2163312,271946,222477,12523,3825886,163927
CA,39148760,2164519,15221577,138427,5525439,138911,14695836,1264051
CO,5531141,216732,1184794,30131,169556,7480,3778212,144236
CT,3581504,351817,561791,5320,157406,752,2418696,85722
DC,684498,315281,74776,1314,26278,280,248057,18512
DE,949495,204665,86315,2851,36464,276,595623,23301
FL,20598139,3167011,5184720,41776,548642,10770,11196857,448363
GA,10297484,3195363,968463,18416,399223,5070,5476441,234508
HI,1422029,24472,147962,1877,522731,132583,314536,277868
IA,3132499,107471,183296,9067,74640,2863,2695888,59274
ID,1687809,10739,209073,18775,22809,2348,1387654,36411
IL,12821497,1796057,2174842,15037,685343,3088,7894286,252844
IN,6637426,610343,450267,12125,143883,2133,5275162,143513
KS,2908776,163713,340616,19504,82887,1827,2214543,85686
KY,4440204,349407,158744,8498,62432,2339,3764082,94702
LA,4663616,1492230,234920,24014,79137,1154,2744265,87896
MA,6830193,463796,789127,8890,440336,1698,4930412,195934
MD,6003435,1759438,588912,10949,371981,2265,3084868,185022
ME,1332813,16990,21421,7722,14814,258,1244525,27083
MI,9957488,1360345,497897,45772,303059,2464,7489371,258580
MN,5527358,336505,292764,53168,260797,1799,4438071,144254
MO,6090062,699730,249105,23566,115311,6037,4848330,147983
MS,2988762,1121752,90493,12990,28170,654,1696952,37751
MT,1041732,4348,39019,64643,7806,706,898953,26257
NC,10155624,2146254,935950,111360,280059,5677,6433039,243285
ND,752201,20113,26529,38308,10664,366,639477,16744
NE,1904760,88442,203281,13918,43839,1091,1512314,41875
NH,1343622,17622,48356,1838,35848,270,1214547,25141
NJ,8881845,1129257,1768020,9599,826944,2255,4960005,185765
NM,2092434,38016,1015751,183408,29571,1046,788308,36334
NV,2922849,249967,831597,26355,229928,17703,1458093,109206
NY,19618453,2808679,3705588,46139,1616028,5591,10959534,476894
OH,11641879,1418048,431327,17723,247987,3055,9220638,303101
OK,3918137,282622,407521,280638,82318,3982,2586110,274946
OR,4081943,74356,523956,36776,172505,15301,3103557,155492
PA,12791181,1360576,905156,14419,424597,2702,9826865,256866
RI,1056611,59001,158858,3708,35128,684,767727,31505
SC,4955925,1328352,275685,14187,74278,2812,3156973,103638
SD,864289,15840,31995,72263,12540,236,710810,20605
TN,6651089,1107218,352402,15172,112015,3318,4924145,136819
TX,27885195,3269253,10921556,68452,1292813,20381,11807263,505477
UT,3045350,33713,422123,28047,68747,26607,2394238,71875
VA,8413774,1582421,771177,17747,526973,4740,5233111,277605
VT,624977,7602,11677,1867,10541,170,581023,12097
WA,7294336,259482,911573,80274,602020,46476,5039208,355303
WI,5778394,361909,385779,46149,158198,1676,4711038,113645
WV,1829054,65597,27522,3546,14353,309,1684756,32971
WY,581836,5149,56966,12717,4660,434,489559,12351